
,Item Name,Product Code,Retail Price,Wholesale Price,Cost Price,Brand
,Air Freshener 9:1 Conc - Black Ice (32oz),NA_AFR32_BIE,"Rs	8,300","Rs	7,304","Rs	6,208",Nano Skin
,Cherry Suds Wash & Shine Shampoo 1:127 (16oz),NA-CSS16,"Rs	1,600","Rs	1,408","Rs	1,197",Nano Skin
,WATERLESS Wash ~ 4:1 / Spray Wax RTU,NA-WAT16,"Rs	2,200","Rs	1,936","Rs	1,646",Nano Skin
,Quick Shine Quick Detailer Spray RTU (16oz),NA-QSE16,"Rs	2,000","Rs	1,760","Rs	1,496",Nano Skin
,Crystal-Clear VOC Free Glass Cleaner (16oz),NA-CCR16,"Rs	3,000","Rs	2,640","Rs	2,244",Nano Skin
,Blue Dress Premium Dressing Silicone (16oz) upto 1:5,NA-BDS16,"Rs	3,000","Rs	2,640","Rs	2,244",Nano Skin
,"Blue Traditional Edgeless Microfiber Towel (Blue 16"" x 16"")",NAM-TE380B,Rs	500,Rs	440,Rs	374,Nano Skin
,"Angled Head Bristles Brush Green 20""",83-016,"Rs	4,050","Rs	3,564","Rs	3,029",Nano Skin
,"Angled Head Bristles Brush Salt & Pepper 20""",83-017,"Rs	4,050","Rs	3,564","Rs	3,029",Nano Skin

,"6"" Horsehair Brush",85-590,"Rs	3,800","Rs	3,344","Rs	2,842",Nano Skin
